[00:01.440 --> 00:02.000]  Hi.
[08:34.570 --> 08:38.570]  that could cause things to go up and down, especially if it's conflicting with something that the
[08:38.570 --> 08:41.410]  Wacom has. However, I'm not necessarily saying that's the issue.
[08:43.270 --> 08:46.470]  And you're finding that you have the issue in Toolkit or Studio doesn't
[08:46.470 --> 08:50.430]  really matter. You're just watching the blinking of the MSCP and it just kind of stops blinking.
[08:53.010 --> 08:53.970]  So, yeah.
[08:55.670 --> 08:58.830]  If in the token passing side,
[09:01.450 --> 09:02.550]  suppose you had
[09:02.550 --> 09:06.670]  100 devices, for example, right? And every device
[09:06.670 --> 09:11.050]  is trying to access or request 10 things
[09:11.050 --> 09:14.910]  from device 10. What's going to happen is
[09:14.910 --> 09:18.370]  all of them are going to be doing the request, right?
[09:18.370 --> 09:22.910]  Every time they go, I want this stuff, I want this stuff. And the problem is
[09:22.910 --> 09:27.050]  this device 10 can only respond to so many
[09:27.050 --> 09:29.710]  requests at once.
[09:30.390 --> 09:32.370]  In a given token pass, right?
[09:34.730 --> 09:36.650]  So, let's say its limit is
[09:36.650 --> 09:40.470]  20. And that is the limit of the flex errors. But it could also be 8
[09:40.470 --> 09:44.330]  like on the pro errors and pro zones. So, let's say it's 20. The moment
[09:44.330 --> 09:48.610]  it exceeds that number, the controller responds back with a
[09:48.610 --> 09:51.090]  you sent me too much stuff, you're going to have to wait.
[09:52.230 --> 09:56.330]  And it does that for every single request. So, let's say again,
[09:56.350 --> 10:00.430]  100 devices, 99 requests times 10
[10:03.030 --> 10:04.790]  think of how long you would have to go
[10:04.790 --> 10:08.850]  through a single token pass before it gets to the next device.
[10:10.190 --> 10:12.870]  There would be so many of these reply
[10:12.870 --> 10:16.530]  postpones going out all the time that the network would
[10:16.530 --> 10:19.690]  crawl, right? It would just drag down to a crawl.
[10:20.290 --> 10:24.490]  If that were happening though, I don't think you would see
[10:24.490 --> 10:26.390]  anything from any of the devices.
[10:27.790 --> 10:30.590]  I mean, maybe the export too. You could see
[10:30.590 --> 10:34.370]  some stuff. But I don't think you'd see anything from any of the devices because
[10:35.370 --> 10:38.330]  it would be consistently slow for everything.
[10:38.470 --> 10:40.350]  I guess what I'm trying to say.
[10:42.850 --> 10:46.030]  So, that leaves electrical.
[10:46.510 --> 10:48.690]  Now, what's the current baud rate?
[10:52.460 --> 10:56.780]  The current baud rate for the network is 76, 800. I confirm
[10:56.780 --> 11:00.960]  that the ProCom is trying to host the network running 76, 800
[11:00.960 --> 11:04.600]  and the flexors and all that
[11:04.600 --> 11:08.020]  that are in the network currently are all
[11:08.780 --> 11:10.460]  talking at that speed.
[11:10.860 --> 11:13.140]  How many devices total, roughly speaking?
[11:15.820 --> 11:19.700]  39. It is probably worth mentioning,
[11:20.460 --> 11:23.820]  I didn't mention this to you, that
[11:23.820 --> 11:28.040]  this ProCom was also previously
[11:28.040 --> 11:31.600]  hosting a main network A. The one we're dealing with
[11:31.600 --> 11:36.260]  right now is B, the subnet B for MSTP.
[11:36.600 --> 11:40.220]  Subnet A has also, it is no longer able to talk to that one either
[11:40.220 --> 11:41.880]  though previously it was.
[11:45.210 --> 11:49.820]  Interesting. So, both A and B essentially went down at the same time.
[11:52.090 --> 11:53.950]  Were flexors added to both networks?
[11:53.950 --> 11:57.230]  Where B was down first and... no.
[11:58.630 --> 11:59.650]  Just on one.
[12:00.010 --> 12:05.950]  When you're having issues with communicating with network A, was that
[12:05.950 --> 12:07.590]  while network B was connected?
[12:14.660 --> 12:18.920]  Pregrettably, I think the point at which it stopped
[12:18.920 --> 12:22.960]  communicating was I tried to check if the port was bad
[12:22.960 --> 12:26.100]  by sticking both kind of daisy chaining
[12:26.940 --> 12:30.440]  the devices from net A into net B and seeing if I could
[12:30.440 --> 12:33.900]  see them from the ProZones, which I could for a moment.
[12:39.030 --> 12:42.170]  It does take a while for...
[12:42.170 --> 12:46.130]  especially when you're changing things between network numbers, sometimes you do have to disconnect and reconnect
[12:46.130 --> 12:49.930]  and toolkit, so keep that in mind when you're trying different tests
[12:49.930 --> 12:54.190]  like that. It's a good idea to disconnect and reconnect
[12:54.190 --> 12:57.030]  periodically. Anyways...
[13:06.290 --> 13:07.770]  I'm just wondering if it's
[13:07.770 --> 13:10.510]  possible that the fuses of both networks were affected.
[13:11.570 --> 13:12.490]  I'm just thinking...
[13:17.020 --> 13:19.920]  you tried the network...
[13:19.920 --> 13:23.680]  the A and the B ports, right?
[13:24.700 --> 13:27.920]  The MSDB network port and the Auxnet port. Were you having
[13:27.920 --> 13:31.680]  issues with the A network before you did that test?
[13:34.160 --> 13:34.720]  Nope.
[13:36.620 --> 13:38.320]  Oh, give me one second.
[13:42.840 --> 13:43.360]  Oh, damn.
[13:48.980 --> 13:51.380]  I had an extension cord or something.
[13:52.960 --> 13:54.300]  Oh, the port is there. Perfect.
[14:02.560 --> 14:03.120]  Alright,
[14:45.300 --> 14:46.380]  apologies. Hello again.
[14:46.380 --> 14:50.560]  Yep. So, I'm wondering if the...
[14:50.560 --> 14:54.180]  there's something about the electrical situation
[14:54.180 --> 14:58.460]  on network B that when you connected to network A, it affected
[14:58.460 --> 15:01.580]  that one. Like permanently type thing.
[15:03.200 --> 15:04.940]  Do you know how to check the fuses?
[15:08.790 --> 15:10.390]  The fuses in the controllers?
[15:12.770 --> 15:14.250]  Or the fuses on the MSDB?
[15:14.250 --> 15:15.170]  The ProCom?
[15:17.290 --> 15:19.590]  Do you use this on the MSDB?
[15:21.610 --> 15:24.890]  On the port for the ProCom?
[15:25.410 --> 15:26.550]  On the ProCom, yeah.
[15:30.160 --> 15:32.580]  I haven't ever seen those light up.
[15:33.980 --> 15:39.280]  Well, it's not about lighting up in this case. The reason why I'm wondering is because
[15:39.280 --> 15:42.960]  to me, the part that makes it kind of suspect is
[15:42.960 --> 15:47.160]  that the port A was working fine until the issue, the troublesome
[15:47.160 --> 15:50.940]  network was connected to port A. Now port A is also having a problem.
[15:51.180 --> 15:54.120]  See what I'm saying? Yep.
[15:55.420 --> 15:59.340]  So, either the controllers on the other side
[15:59.340 --> 16:03.180]  are all confused right now, in which case maybe they need to be
[16:03.180 --> 16:07.460]  power cycled. Like, port A, what were they
[16:07.460 --> 16:11.120]  running on for the baud rate? 70, 60, 100
[16:11.120 --> 16:15.940]  I don't recall, but 76, 800 is what the network was set for.
[16:16.760 --> 16:19.380]  Okay. In the case where there's
[16:19.380 --> 16:23.220]  a bunch of network errors, it will autobaud.
[16:24.480 --> 16:27.680]  So, if that happens, they can end up autobauding
[16:27.680 --> 16:31.320]  to a different baud rate and start talking on that. That can cause you all sorts of
[16:31.320 --> 16:35.580]  communication issues. If you power them off and turn them on,
[16:36.200 --> 16:37.600]  the downstream devices,
[16:39.820 --> 16:41.860]  they will autobaud again.
[16:42.040 --> 16:46.040]  And if you have the procom connected while they are doing the autobauding,
[16:46.060 --> 16:49.420]  they should all go to the correct baud rate.
[16:52.420 --> 16:53.720]  Now, that's just based on
[16:53.720 --> 16:57.600]  their autobauding. Uh huh. That's just based on...
[16:58.120 --> 17:01.960]  So, I've never really heard
[17:01.960 --> 17:06.000]  of a situation where someone connects, let's say, network B to network A,
[17:06.000 --> 17:09.820]  and network A is fried without there being clearly like,
[17:10.060 --> 17:14.100]  oh, there's 24 volts on here. That sort of a thing.
[17:14.920 --> 17:18.020]  Right? Yeah, these networks
[17:19.160 --> 17:21.080]  are talking to themselves.
[17:22.020 --> 17:26.060]  I've never heard of it before. So, I'm thinking that the issue has to be
[17:26.060 --> 17:29.880]  something else in the configuration. Most of the configuration is
[17:29.880 --> 17:34.280]  something like a state, the state that it's in. And if you
[17:34.280 --> 17:38.740]  change the state it's in, then you can change its behavior. In this case, when you added the
[17:38.740 --> 17:42.320]  network that was having problems to network A, and then back again,
[17:43.740 --> 17:46.280]  something about the state of that first network
[17:46.900 --> 17:48.920]  changed. I don't know what,
[17:50.340 --> 17:53.860]  but something clearly changed. So...
[17:54.380 --> 17:54.860]  Yeah.
[17:59.290 --> 17:59.930]  Ah.
[18:05.670 --> 18:05.870]  But,
[18:05.930 --> 18:09.910]  anyways, are you able to power off multiple
[18:09.910 --> 18:14.030]  devices, like through a breaker or something like that?
[18:16.230 --> 18:16.970]  Power off what?
[18:18.270 --> 18:21.610]  A number of the devices. Can you
[18:21.610 --> 18:25.410]  focus on network A for the beginning here, because
[18:25.410 --> 18:29.570]  we know network A had no changes to it, and we know it's
[18:29.570 --> 18:33.590]  currently having issues. So, until that is addressed,
[18:33.710 --> 18:37.610]  I don't know if there's any point looking at the network that we know we have problems with. You see what I'm saying?
[18:39.390 --> 18:41.590]  Okay. Because otherwise you're trying to
[18:41.590 --> 18:45.870]  solve two problems at the same time, and you're probably going to be chasing your tail.
[18:48.550 --> 18:48.990]  Yeah.
[18:50.390 --> 18:53.430]  So, for network A, are you able to power off
[18:53.430 --> 18:57.490]  all the devices and power them on using something like a circuit breaker?
[18:59.190 --> 19:01.510]  I could probably power off a few.
[19:01.970 --> 19:04.750]  I don't know about all of them, because it is an occupied space.
[19:05.730 --> 19:06.090]  Okay.
[19:09.250 --> 19:13.430]  That is one way to do it. There is another way. We can introduce autobotting.
[19:13.970 --> 19:16.230]  So, currently, is it connected to the ProCom?
[19:19.550 --> 19:22.950]  Yes. Okay, perfect. While it's connected,
[19:23.810 --> 19:27.030]  short the A and B together.
[19:27.730 --> 19:29.650]  A minus B plus, right?
[19:31.930 --> 19:33.150]  Alright, give me a sec.
[19:34.110 --> 19:38.370]  Only short it for like three to five seconds. Basically, what that should do
[19:38.370 --> 19:42.770]  is generate so many errors on the network that all of the devices are forced to
[19:42.770 --> 19:43.730]  autobot.
[19:46.890 --> 19:50.510]  If they don't get enough errors, then they won't autobot, but
[19:50.510 --> 19:52.810]  hopefully they will.
[20:29.210 --> 20:29.810]  Alright.
[20:31.010 --> 20:34.970]  It's doing an intermittent flashing pattern. Is that indicative of an autobot?
[20:36.370 --> 20:39.470]  No, it's not necessarily autobotting, but
[20:39.470 --> 20:43.190]  flashing of any kind, like flickering, generally
[20:43.190 --> 20:46.790]  is a good indication on the MCP, because it indicates...
[20:46.790 --> 20:49.490]  It's gone back to solid, but it was flashing for a sec.
[20:49.490 --> 20:53.490]  Okay, give it up to two minutes before we
[20:54.770 --> 20:56.910]  figure that there may be a problem there.
[20:59.320 --> 21:00.780]  Okay, well wait a minute.
[21:09.820 --> 21:14.260]  Now, for the version 7 controllers, there is a known issue with the version 7
[21:14.260 --> 21:18.400]  controllers that was fixed in a fairly recent release. What can happen
[21:18.400 --> 21:21.960]  is it can generate noise on the
[21:21.960 --> 21:26.300]  MSCP that exceeds what you would normally want to see
[21:26.300 --> 21:29.140]  anything recently generate noise for.
[21:33.020 --> 21:34.580]  So, updating the firmware
[21:34.580 --> 21:38.520]  on the version 7 controllers to the latest version may actually
[21:38.520 --> 21:39.500]  benefit the network.
[21:42.760 --> 21:46.360]  That said, the number of devices you have,
[21:46.360 --> 21:49.920]  it should be fine. I don't see any reason why there would be a problem.
[21:52.960 --> 21:54.080]  If they're
[21:54.080 --> 21:56.920]  on the old site. Do you know how old the transformers are?
[22:00.060 --> 22:03.760]  Oh, I do not. So, like, the flex airs, are they
[22:03.760 --> 22:07.260]  being added to existing transformers, or are they new transformers?
[22:10.560 --> 22:13.580]  Flex airs. I think they were existing. Well,
[22:14.920 --> 22:17.380]  some of them are existing, some of them are new.
[22:20.260 --> 22:21.680]  Now, I'm just
[22:21.680 --> 22:25.560]  guessing, because I don't know if it's up my head, but my guess
[22:25.560 --> 22:29.520]  is that the flex air uses a bit more power than the
[22:29.520 --> 22:33.560]  pro air. I'd have to pull up the
[22:34.540 --> 22:37.640]  power calculator, but that's my assumption.
[22:40.860 --> 22:41.780]  They shouldn't
[22:41.780 --> 22:44.680]  pull that much more power. I don't know.
[22:48.630 --> 22:51.730]  I should note that the MSCP transmitters in the
[22:51.730 --> 22:55.890]  flex airs are the same MSCP transmitters in the pro airs and pro zones
[22:55.890 --> 22:59.770]  and those controllers. Like, physically, they're the exact same transmitter.
[23:02.050 --> 23:04.110]  The only thing left has to do with
[23:04.110 --> 23:07.890]  like, say, the environment, the power, or
[23:07.890 --> 23:11.810]  something to do with maybe the wiring. Like, maybe there's a bad termination somewhere.
[23:13.790 --> 23:15.890]  But the pro com not be able to see it
[23:15.890 --> 23:19.890]  still makes me kind of...
[23:20.610 --> 23:23.590]  Right now with the pro com, does it have end of mind enabled or disabled?
[23:29.100 --> 23:30.340]  Does it have what?
[23:31.280 --> 23:35.220]  The end of line toggle switch. Is it enabled or disabled?
[23:36.040 --> 23:39.740]  If it's enabled, I try disabling it. Oh, they are enabled. I try enabling it.
[23:42.100 --> 23:42.560]  Okay.
[23:43.100 --> 23:45.600]  Yeah, exactly.
[23:47.960 --> 23:51.100]  Do you roughly know why
[23:51.100 --> 23:53.660]  end of line is recommended and enabled?
[23:56.340 --> 23:57.900]  Yeah, because it puts a little
[23:57.900 --> 24:01.100]  bit of resistance so you don't get echoes. Exactly.
[24:01.260 --> 24:03.180]  It's impedance matching, specifically.
[24:04.900 --> 24:07.620]  The problem is that it doesn't necessarily...
[24:09.620 --> 24:13.560]  If you don't suffer from issues with impedance
[24:13.560 --> 24:17.540]  matching, and then you enable it, then you can actually create
[24:17.540 --> 24:21.780]  issues. But having end of line enabled
[24:21.780 --> 24:25.620]  on both ends should resolve that because there's this
[24:25.620 --> 24:28.560]  equivalent resistance on both ends.
[24:31.260 --> 24:33.920]  That said, adding resistance to a
[24:34.600 --> 24:36.820]  network communication does drop the voltage.
[24:38.720 --> 24:41.260]  So, we'll see.
[24:43.740 --> 24:45.240]  Right? It is a load on the network.
[24:47.860 --> 24:48.580]  Perhaps
[24:48.580 --> 24:52.680]  not having it on there will get us a little bit
[24:52.680 --> 24:57.120]  of talking here. So, any change to the behavior of the
[24:57.120 --> 25:03.360]  lights? Nope. Not so far.
[25:04.220 --> 25:04.580]  Right.
[25:17.010 --> 25:18.210]  I've got another idea.
[25:20.990 --> 25:24.830]  You can export connect to the pro airs, correct?
[25:27.850 --> 25:29.830]  Yeah. Okay.
[25:29.830 --> 25:33.450]  And this is on network A. Yeah. Do a direct connect.
[25:34.010 --> 25:35.730]  Let me know when you're actually connected.
[25:39.080 --> 25:40.440]  Okay. That might be a moment.
[25:45.470 --> 25:48.810]  How long are you going to wait? Because I don't know how long
[25:48.810 --> 25:52.930]  it would take. I think you could do the direct connect via the pro com
[25:52.930 --> 25:56.910]  if you're using the export 2. Even though it's physically in the same
[25:56.910 --> 26:00.430]  location, the export 2 taps directly into
[26:01.770 --> 26:04.510]  the mstp from there.
[26:06.690 --> 26:07.250]  Okay.
[26:14.410 --> 26:16.530]  Like, electrically? You want to try?
[26:17.610 --> 26:21.610]  It would be...
[26:21.610 --> 26:25.230]  We're not going through the pro com's transmitter
[26:25.230 --> 26:29.250]  when we're going through the export 2 through the smart net port, if that makes sense.
[26:31.550 --> 26:32.090]  Yeah.
[27:26.180 --> 27:27.480]  ...
[27:27.480 --> 27:28.560]  ...
[27:42.700 --> 27:44.000]  ...
[27:44.000 --> 27:44.020]  ...
[27:44.020 --> 27:44.320]  ...
[27:57.410 --> 28:09.500]  All right. Then we'll get through the export 2.
[28:09.500 --> 28:13.700]  Yep. So do the direct connect. If you can see
[28:13.700 --> 28:17.480]  the network number for the mstp, click on it and let me know if any
[28:17.480 --> 28:19.420]  devices pull in.
[28:24.680 --> 28:26.480]  It might come up under local network.
[28:31.560 --> 28:33.040]  Yeah. I'm seeing network A
[28:33.040 --> 28:35.800]  now. But only on local mstp.
[28:36.860 --> 28:40.080]  Right. And you're not seeing it when you're otherwise connected to the pro com.
[28:40.080 --> 28:44.200]  So the pro com seems to be
[28:44.200 --> 28:47.400]  a common denominator here. And I do not know why.
[28:48.020 --> 28:50.640]  Do you happen to have another pro com you can swap? Oh, boy.
[28:52.920 --> 28:54.600]  I didn't... Oh, god.
[28:56.740 --> 29:00.200]  Kind of. But I would need to rip it out of another panel in this
[29:00.200 --> 29:04.140]  building. Well, before doing that, there's something else
[29:04.140 --> 29:05.340]  you can still try.
[29:08.900 --> 29:10.100]  Uh huh.
[29:10.620 --> 29:13.420]  Have you ever had a bad ethernet cable? And you were like
[29:13.420 --> 29:14.820]  why is my network so slow?
[29:17.180 --> 29:21.400]  Yep. So think of what that would look
[29:21.400 --> 29:25.340]  like on an mstp network. Because everything's shared, it could
[29:25.340 --> 29:29.600]  cause all of that. But the reason for that
[29:29.600 --> 29:33.480]  is the baud rate is dropped in order to maintain
[29:33.480 --> 29:37.760]  signal integrity. Sometimes dropping
[29:37.760 --> 29:41.700]  the baud rate can overcome some other network
[29:41.700 --> 29:42.980]  related issues.
[29:46.400 --> 29:49.280]  Under normal circumstance, you shouldn't ever have to do this.
[29:50.260 --> 29:53.420]  So the fact that it's affecting both your smaller network
[29:53.420 --> 29:57.540]  and your larger network, I don't think it's going to help in this
[29:57.540 --> 30:01.780]  case. But it is something I have done before. And it has helped
[30:02.360 --> 30:05.860]  before. So if you want to try
[30:05.860 --> 30:09.760]  one other thing, that's the other thing I would suggest trying. Otherwise I'd suggest trying
[30:09.760 --> 30:13.480]  to swap out the mockrocom. It sounds like there's something
[30:13.480 --> 30:17.800]  I don't know what, but it sounds like there's something wrong. Because the thing about
[30:17.800 --> 30:22.060]  your export to is using the 5 volt and ground
[30:22.060 --> 30:25.060]  from your mockrocom. Right?
[30:26.520 --> 30:29.580]  If it's not having issues with seeing the network,
[30:29.580 --> 30:32.960]  then I don't think the issue has anything to do with
[30:33.780 --> 30:38.020]  the power of the procom. I don't think it has anything to do with
[30:38.020 --> 30:41.580]  your network at large. I think the issue is the procom.
[30:41.700 --> 30:45.660]  I don't know what though. Like this is not something I typically hear about.
[30:45.780 --> 30:49.780]  And I'm assuming you've already tried stuff like power cycling with the procom as well.
[30:50.960 --> 30:52.600]  So many times.
[30:55.400 --> 30:57.600]  Yeah, but over the SmartNet Direct Connect
[30:57.600 --> 31:01.880]  I can see all the Network A stuff,
[31:01.940 --> 31:05.600]  but I'm not seeing that light up on the MSCP. I could try
[31:06.140 --> 31:08.060]  setting it back to the end of the line, maybe?
[31:09.020 --> 31:12.660]  You could, yeah. You could check what the MAC address is set for
[31:12.660 --> 31:17.720]  for that. So when you do a... actually, this might actually matter.
[31:18.540 --> 31:21.240]  You were talking about main
[31:22.040 --> 31:24.420]  BACnet versus sub-network, right?
[31:25.540 --> 31:27.120]  For the MSCP?
[31:28.060 --> 31:32.020]  Okay, so I'll let you know what happens when you change the main. Because a lot of people don't know
[31:32.020 --> 31:36.660]  that this happens, and they absolutely shoot themselves in the foot. So what happens is
[31:36.660 --> 31:40.080]  it'll change your MAC address
[31:40.080 --> 31:44.320]  for that device, in this case the procom, it changes MAC address
[31:44.320 --> 31:48.420]  to the network host number in the top right, which is almost certainly
[31:49.500 --> 31:52.340]  something else right now. So I think
[31:52.340 --> 31:54.640]  by default it's one?
[31:55.720 --> 31:57.480]  I see the one or one hundred, but I think it's one.
[31:59.900 --> 32:03.600]  Currently the network host...
[32:06.750 --> 32:10.390]  on both of the networks, the MAC address of the procom is zero,
[32:10.770 --> 32:14.290]  but in the top right, if I recall, the network host number is six.
[32:16.670 --> 32:18.890]  So you want me to set this MAC address
[32:18.890 --> 32:22.370]  for each of the networks to six, and then boot off the one unit
[32:22.370 --> 32:26.290]  set a different MAC address for it? No, if they're both set at zero, then that should be fine.
[32:26.370 --> 32:30.110]  What I'm saying is... here, try this. So without hitting send,
[32:30.310 --> 32:34.250]  just click on the back-knit drop-down. So back-knit
[32:34.250 --> 32:38.510]  sub, change the back-knit main. Then go to advanced and you'll see what I'm talking about.
[32:43.130 --> 32:46.210]  Alright, give me just a second. I need to... I can't see the
[32:47.910 --> 32:48.710]  procom... huh.
[32:49.410 --> 32:53.030]  Does it mean anything to you? I'm still direct connected using the export
[32:53.030 --> 32:57.030]  too. I can't see
[32:57.030 --> 33:00.910]  the procom at all this way, even though it's plugged into the procom.
[33:01.590 --> 33:03.810]  Isn't that wild? Yeah, huh.
[33:04.930 --> 33:05.210]  Okay.
[33:10.410 --> 33:12.770]  Procom MSDP advanced settings.
[33:14.070 --> 33:16.950]  Because the total verified that the MAC address is actually set
[33:16.950 --> 33:20.330]  to zero. When you change it to back-knit main,
[33:21.190 --> 33:24.910]  it'll change it under the hood. It's hidden behind the menu, right? So you won't
